PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
11187846;"Aula de estudio Centro Cultural San Juan Bautista (Ciudad Lineal)";"";"Julio: Lunes a viernes, de 9:30  a 14 horas (domingos y festivos cerrado) Septiembre: Lunes a viernes, de 9:30  a 20:30 horas (domingos y festivos cerrado) Semana Santa: de 9:30 a 20 horas (domingos y festivos cerrado)";"Puestos de lectura: 15 (reducido 10). Se trata de un aula que se utiliza cuando no hay talleres, durante julio, septiembre y Semana Santa. Zona wifi";"Metro: Avenida de la Paz (línea 4)  Bus: 53";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e10cd76f718a2710VgnVCM1000001d4a900aRCRD";"SAN NEMESIO";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28043";"SAN JUAN BAUTISTA";"CIUDAD LINEAL";"444202";"4478162";"40.45224710166";"-3.658029027767765";"914 157 705";"";"";"/contenido/entidadesYorganismos/SalasEstudioLectura"; 
1958;"Centro Cultural San Juan Bautista (Ciudad Lineal)";"";"De lunes a viernes, de 10 a 14 y de 15 a 18 horas. Julio, de lunes a viernes, de 10 a 14 horas. Agosto cerrado. Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.";"Sala de exposiciones Sala de lectura y estuduo Salón de actos / auditorio (aforo 208) 6 Aulas Zona wifi   Sala de lectura y estudio: Durante el mes de julio, de 10 a 14 horas.";"Metro: Avenida de la Paz (línea 4)  Bus: 53";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=618b1e79ee71c010VgnVCM1000000b205a0aRCRD";"SAN NEMESIO";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28043";"SAN JUAN BAUTISTA";"CIUDAD LINEAL";"444202";"4478162";"40.45224737965276";"-3.6580402287911937";"914 157 705";"";"ccsanjuanbautista@madrid.es";"/contenido/entidadesYorganismos/SalasEstudioLectura"; 
8637537;"Sala de Estudio del Centro Sociocultural Clara Campoamor (Retiro)";"Normas generales   Uso obligatorio de mascarilla en todo momento Distancia de seguridad. Queda prohibido modificar la disposición de las mesas y sillas En todo momento tendrán que atender las directrices de las auxiliares de información y del personal de seguridad Queda prohibido el consumo de bebidas/comida No se permite pre-reservar ni guardar los puestos                                                                                                                       Sala Dulce Chacón (1&amp;ordf; planta): 20 puestos. Esta sala no podrá usarse como sala de estudio cuando esté ocupada por cesiones/actividades socioculturales     Sala de estudio Gloria Fuertes (2&amp;ordf; planta): 24 puestos .  Sala Las Sinsombrero (2&amp;ordf; y 3&amp;ordf; planta): 24 puestos. Esta sala no podrá usarse como sala de estudio cuando esté ocupada por cesiones/actividades socioculturales.";"Lunes a viernes de 9 a 21 h.  Sábados, domingos y festivos de 10 a 21 h. (Con excepción del 25 de diciembre y 1 y 6 de enero en los que la Junta Municipal permanece cerrada).";"Zona wifi";"Metro: Pacífico (línea 1 y 6)  Bus: 24, 37, 54, 57, 141  Bicimad: Estación 178 (calle León Gil de Palacio, 3)  Aparcamiento: Daoíz y Velarde (23), avenida Ciudad de Barcelona ( calle Alberche y calle Téllez)";"Acceso por plaza de Daoíz y Velarde.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ad345442c6452510VgnVCM2000000c205a0aRCRD";"DAOIZ Y VELARDE";"PLAZA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28007";"PACIFICO";"RETIRO";"442527";"4472618";"40.402190438836826";"-3.6772826298329093";"915 886 348";"";"";"/contenido/entidadesYorganismos/SalasEstudioLectura"; 
4813751;"Sala de estudio Alfonso XII (Fuencarral - El Pardo)";"Reservas:  Es necesario la reserva previa Se podrá reservar sólo un turno con una antelación de 48 horas presencialmente o en el teléfono 913 762 060 Una vez abierta la sala, en el caso de que existan puestos libres se accederá por orden de llegada. Cuando es utilizado un puesto, éste no se podrá ocupar hasta el siguiente turno, una vez que se haya realizado la limpieza de la sala. Por lo tanto, en cada turno se pueden reservar todos los puestos en horario completo, pero no hay renovación de las personas, aunque se vayan antes de acabar el turno.";"De lunes a viernes Turno de mañana- de 9 a 14 horas Turno de tarde- de 16 a 21 horas";"Normas generales:  Uso obligatorio de la mascarilla. Mantener distancia de seguridad. Una vez se ocupa el puesto, queda terminantemente prohibido cambiar de sitio o puesto.            Prohibido comer en la sala. Mantenerse en silencio. Cumplir los horarios estipulados. El incumplimiento de estas normas puede suponer la denegación de uso de la sala.";"";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e7a8917a2058110VgnVCM2000000c205a0aRCRD";"MIRA EL RIO";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28048";"EL PARDO";"FUENCARRAL-EL PARDO";"434105";"4485730";"40.519673311658686";"-3.7779055687726535";"913 762 060";"";"";"/contenido/entidadesYorganismos/SalasEstudioLectura"; 
4813737;"Sala de estudio Alfredo Kraus (Fuencarral - El Pardo)";"Reservas:  Es necesario la reserva previa Se podrá reservar sólo un turno con una antelación de 48 horas presencialmente o en el teléfono 913 767 085 Una vez abierta la sala, en el caso de que existan puestos libres se accederá por orden de llegada. Cuando es utilizado un puesto, éste no se podrá ocupar hasta el siguiente turno, una vez que se haya realizado la limpieza de la sala. Por lo tanto, en cada turno se pueden reservar todos los puestos en horario completo, pero no hay renovación de las personas, aunque se vayan antes de acabar el turno.";"De lunes a viernes Turno de mañana- de 9 a 14 horas Turno de tarde- de 16 a 21 horas";"Normas generales:  Uso obligatorio de la mascarilla. Mantener distancia de seguridad. Una vez se ocupa el puesto, queda terminantemente prohibido cambiar de sitio o puesto.            Prohibido comer en la sala. Mantenerse en silencio. Cumplir los horarios estipulados. El incumplimiento de estas normas puede suponer la denegación de uso de la sala.";"";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2ec62928b1058110VgnVCM2000000c205a0aRCRD";"PRADERA DE VAQUERIZAS";"GLORIETA";"V";"9";"";"";"";"";"MADRID";"MADRID";"28035";"MIRASIERRA";"FUENCARRAL-EL PARDO";"438848";"4482487";"40.49082275610172";"-3.7216054330053647";"913 767 085 (Centro Cultural)";"";"";"/contenido/entidadesYorganismos/SalasEstudioLectura"; 
8041076;"Sala de estudio Almirante Churruca (Latina)";"";"En horario de funcionamiento del centro:  Lunes a Viernes de 9 a 21:30 horas. Sábados de 9 a 13:30 horas.";"Puestos de lectura: 120. Wifi.";"Metro: Aviación Española (línea 10). Bus: 17, 34. Cercanías Renfe: Las Águilas (línea C5).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3ab67c6cd874d410VgnVCM1000000b205a0aRCRD";"FUENTE DEL TIRO";"CALLE";"V";"72";"1.ª";"";"";"";"MADRID";"MADRID";"28024";"LAS AGUILAS";"LATINA";"433786";"4470559";"40.382992678408066";"-3.7800773802118117";"915 090 581 / 917 053 794";"";"";"/contenido/entidadesYorganismos/SalasEstudioLectura"; 
10415134;"Sala de estudio Aravaca (Moncloa-Aravaca)";"";"De lunes a sábado de 9 a 14 y de 15 a 21 horas.";"";"Bus: 160, 161.";"Puestos de lectura: 8 (de los 32 quedan reducidos a 8 por motivos de seguridad sanitaria). Zona wifi.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4b308cfd9a8ec510VgnVCM2000001f4a900aRCRD";"ZARZA";"CALLE";"V";"20";"";"";"";"";"MADRID";"MADRID";"28023";"ARAVACA";"MONCLOA-ARAVACA";"433370";"4478937";"40.45843103553325";"-3.785855667139094";"917 401 596";"";"";"/contenido/entidadesYorganismos/SalasEstudioLectura"; 
4815112;"Sala de estudio Carril del Conde (Hortaleza)";"";"Horario habitual: De lunes a domingos y festivos, de 9 a 22 horas.  Julio y agosto cerrado.";"Puestos de lectura: 150 Wifi";"Metro: Arturo Soria (línea 4)  Bus: 9, 72, 73";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cdc10e4d44558110VgnVCM1000000b205a0aRCRD";"CARRIL DEL CONDE";"CALLE";"V";"57";"";"";"";"ubicada en el Centro Cultural Carril del Conde";"MADRID";"MADRID";"28043";"CANILLAS";"HORTALEZA";"444516";"4479119";"40.46088946853693";"-3.654432812836867";"917 161 240";"";"";"/contenido/entidadesYorganismos/SalasEstudioLectura"; 
6953036;"Sala de estudio Centro Cultural Juvenil de Usera";"";"De lunes a viernes, de 9 a 14 y de 15 a 21 horas. Agosto cerrado.";"Puestos de lectura: 20 (Aforo máximo reducido a 9 personas). Zona wifi.";"Metro: Usera (línea 6)  Bus: 55, 60";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9749b68f981ce310VgnVCM1000000b205a0aRCRD";"CUESTA";"CALLE";"V";"4";"";"";"";"En el Centro Cultural Juvenil de Usera";"MADRID";"MADRID";"28026";"MOSCARDO";"USERA";"439956";"4471270";"40.389856130874605";"-3.7074718790538297";"913 920 541";"";"";"/contenido/entidadesYorganismos/SalasEstudioLectura"; 
4812338;"Sala de estudio Centro Dotacional Integrado de Arganzuela";"";"De lunes a sábado, de 9 a 21 horas. Dos turnos:  Mañana: de 9 a 15 horas. Tarde: de 16 a 21 horas.   Agosto cerrado.";"Puestos de lectura (aforo máximo): 74 personas.  INSCRIPCIÓN OBLIGATORIA EN EL MOSTRADOR DEL CENTRO La inscripción será por orden de llegada hasta completar aforo IMPRESCINDIBLE DNI  No está permitido cambiar de ubicación el mobiliario de la sala No se permiten comidas ni bebidas (EXCEPTO AGUA) No está permitido intercambiar puestos con otros usuarios  Zona wifi";"Metro: Palos de la Frontera (línea 3)  Bus: 19, 247, 45, 47, 8, 86, 55, 6, E1, 59, 85  Cercanías RENFE: Delicias (líneas C1, C7, C10)  Bicimad: Estación 120 (calle Palos de la Frontera, 40)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=217024521f048110VgnVCM1000000b205a0aRCRD";"CANARIAS";"CALLE";"V";"17";"";"";"";"Ubicada en el Centro Dotacional Integrado Arganzuela";"MADRID";"MADRID";"28045";"PALOS DE MOGUER";"ARGANZUELA";"440979";"4472617";"40.40207279862862";"-3.6955325387824014";"915 063 610";"";"cdiarganzuela@madrid.es";"/contenido/entidadesYorganismos/SalasEstudioLectura"; 
